Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
NCS1	FREQ, NCS-1	ENSG00000107130	Neuronal calcium sensor 1	9	132934857-132999583	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB018587, HPA019713	Supportive	Supportive	Plasma membrane, Vesicles	Tissue enhanced	0	cerebral cortex: 71.6	smooth muscle: 34.4
NDRG4	KIAA1180, SMAP-8	ENSG00000103034	NDRG family member 4	16	58496750-58547532	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA015313, HPA017587	Supportive	Uncertain	Nucleus, Cytoplasm	Tissue enhanced	0	adrenal gland: 150.3;cerebral cortex: 282.4;heart muscle: 220.8	testis: 67.5
NDST3	HSST3	ENSG00000164100	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3	4	118954773-119179803	Enzymes, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA056189	Uncertain			Tissue enhanced	0	cerebral cortex: 2.2;spleen: 3.0	liver: 0.9
NEFM	NEF3, NF-M, NFM	ENSG00000104722	Neurofilament, medium polypeptide	8	24770525-24776607	Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB010900, CAB012976, HPA022845, HPA023138	Supportive	Uncertain	Cytoplasm	Tissue enhanced	0	cerebral cortex: 122.9	adrenal gland: 28.3
NELL1	FLJ45906, IDH3GL	ENSG00000165973	NEL-like 1 (chicken)	11	20691117-21597227	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA051535	Uncertain			Tissue enhanced	0	cerebral cortex: 17.0;kidney: 18.1	prostate: 4.3
NELL2	NRP2	ENSG00000184613	NEL-like 2 (chicken)	12	44902058-45315631	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA035715	Uncertain	Uncertain	Nucleus, Nucleoli, Plasma membrane, Cytoskeleton (Intermediate filaments)	Tissue enhanced	0	cerebral cortex: 137.2;fallopian tube: 145.6	lymph node: 36.7
NGEF	ARHGEF27	ENSG00000066248	Neuronal guanine nucleotide exchange factor	2	233743396-233877982	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA008160	Uncertain	Uncertain	Plasma membrane, Cytoplasm	Tissue enhanced	0	cerebral cortex: 70.5	adrenal gland: 36.8
NKG2-E		ENSG00000255641	Uncharacterized protein 	12	10564911-10588600	Predicted membrane proteins	Evidence at protein level	Evidence at protein level			HPA062570	Supportive			Tissue enhanced	0	cerebral cortex: 4.9;spleen: 3.6	bone marrow: 1.3
NKX2-2	NKX2.2, NKX2B	ENSG00000125820	NK2 homeobox 2	20	21491648-21494664	Protein evidence (Kim et al 2014), Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA003468	Uncertain			Tissue enhanced	0	cerebral cortex: 4.7;pancreas: 2.1;stomach: 2.7	duodenum: 1.8
NLGN1	KIAA1070	ENSG00000169760	Neuroligin 1	3	173114074-174004434	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA006680	Uncertain			Tissue enhanced	0	cerebral cortex: 14.9	testis: 8.8
NLGN3	ASPGX1, AUTSX1, HNL3, KIAA1480	ENSG00000196338	Neuroligin 3	X	70364681-70391051	Disease related genes, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA003183	Supportive			Tissue enhanced	0	cerebral cortex: 39.6	adrenal gland: 8.3
NLGN4X	HLNX, KIAA1260, NLGN, NLGN4	ENSG00000146938	Neuroligin 4, X-linked	X	5758678-6146904	Disease related genes, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA001651	Uncertain			Tissue enhanced	0	cerebral cortex: 13.1;ovary: 12.1	smooth muscle: 4.1
NMB	MGC17211, MGC2277, MGC3936	ENSG00000197696	Neuromedin B	15	85198360-85201794	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		CAB019302	Uncertain	Uncertain	Nucleus, Vesicles, Plasma membrane	Tissue enhanced	0	adipose tissue: 31.0;cerebral cortex: 21.7	thyroid gland: 6.9
NMNAT2	C1orf15, KIAA0479, PNAT2	ENSG00000157064	Nicotinamide nucleotide adenylyltransferase 2	1	183217372-183387737	Enzymes	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA015240	Uncertain			Tissue enhanced	0	cerebral cortex: 48.2	heart muscle: 17.4
NNAT	Peg5	ENSG00000053438	Neuronatin	20	36149617-36152092	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enhanced	0	cerebral cortex: 73.8;placenta: 70.3	adipose tissue: 21.6
NOG	SYM1, SYNS1	ENSG00000183691	Noggin	17	54671060-54672951	Disease related genes, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA061318	Uncertain			Tissue enhanced	0	cerebral cortex: 3.6;placenta: 8.8	lymph node: 1.3
NOL4	CT125, HRIHFB2255, NOLP	ENSG00000101746	Nucleolar protein 4	18	31431064-31804916		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA046740	Uncertain	Supportive	Nucleus	Tissue enhanced	0	cerebral cortex: 16.8;testis: 24.5	adrenal gland: 4.3
NOS1AP	CAPON, KIAA0464	ENSG00000198929	Nitric oxide synthase 1 (neuronal) adaptor protein	1	162039564-162353321	Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB018582, HPA030066, HPA055561	Uncertain	Supportive	Nucleus, Mitochondria, Vesicles	Tissue enhanced	0	cerebral cortex: 13.6	adrenal gland: 3.3
NOVA1		ENSG00000139910	Neuro-oncological ventral antigen 1	14	26912299-27066960	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA004155	Uncertain	Supportive	Nucleoli, Nucleus	Tissue enhanced	0	cerebral cortex: 45.4	adipose tissue: 14.8
NOVA2	ANOVA, NOVA3	ENSG00000104967	Neuro-oncological ventral antigen 2	19	46436992-46476804	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA045607	Supportive			Tissue enhanced	0	cerebral cortex: 11.3	lung: 4.9
NPAS3	bHLHe12, MOP6, PASD6	ENSG00000151322	Neuronal PAS domain protein 3	14	33404139-34273382	Disease related genes, Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA002892	Uncertain	Uncertain	Nucleus but not nucleoli	Tissue enhanced	0	cerebral cortex: 18.6	fallopian tube: 9.1
NPAS4	bHLHe79, Le-PAS, NXF, PASD10	ENSG00000174576	Neuronal PAS domain protein 4	11	66188475-66194178	Transcription factors	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA039255	Uncertain			Tissue enhanced	0	cerebral cortex: 3.6;endometrium: 3.6;smooth muscle: 4.2	prostate: 0.8
NPTX2		ENSG00000106236	Neuronal pentraxin II	7	98246609-98259180	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB020801, HPA049799	Supportive			Tissue enhanced	0	adrenal gland: 24.1;cerebral cortex: 41.3;testis: 28.3	pancreas: 9.9
NPY2R		ENSG00000185149	Neuropeptide Y receptor Y2	4	156129781-156138230	G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA013965	Uncertain			Tissue enhanced	0	cerebral cortex: 1.1	testis: 0.7
NRG3		ENSG00000185737	Neuregulin 3	10	83635070-84746935	Cancer-related genes, Plasma proteins, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enhanced	0	cerebral cortex: 16.0;fallopian tube: 5.6	gallbladder: 3.5
NRN1	NRN	ENSG00000124785	Neuritin 1	6	5998232-6007200	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enhanced	0	cerebral cortex: 80.9	adipose tissue: 44.8
NRXN3	C14orf60, KIAA0743	ENSG00000021645	Neurexin 3	14	78708734-80330762	Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA002727	Uncertain			Tissue enhanced	0	cerebral cortex: 31.1;smooth muscle: 21.8	urinary bladder: 7.7
NTM	HNT, IGLON2, NTRI	ENSG00000182667	Neurotrimin	11	131240373-132206716	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB024875	Uncertain			Tissue enhanced	0	cerebral cortex: 99.1	lung: 30.0
NTRK2	TRKB	ENSG00000148053	Neurotrophic tyrosine kinase, receptor, type 2	9	87283466-87638505	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA007637, CAB010346	Supportive	Uncertain	Cytoplasm	Tissue enhanced	0	cerebral cortex: 235.6;thyroid gland: 155.9	gallbladder: 48.4
NTRK3	TRKC	ENSG00000140538	Neurotrophic tyrosine kinase, receptor, type 3	15	88418230-88799999	Cancer-related genes, Enzymes, Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB009233	Uncertain	Supportive	Nucleus but not nucleoli, Cytoplasm, Microtubule organizing center	Tissue enhanced	0	cerebral cortex: 26.0	adipose tissue: 16.8
NUDT11	DIPP3b, FLJ10628, hDIPP3beta	ENSG00000196368	Nudix (nucleoside diphosphate linked moiety X)-type motif 11	X	51232863-51239448	Enzymes, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA047027	Uncertain			Tissue enhanced	0	cerebral cortex: 23.2;testis: 39.3	prostate: 10.3
NYAP1	C7orf51, FLJ37538, KIAA1486L	ENSG00000166924	Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 1	7	100081550-100092422	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA022251	Uncertain	Supportive	Golgi apparatus, Vesicles	Tissue enhanced	0	cerebral cortex: 10.8;testis: 5.0	adrenal gland: 1.9
NYAP2	KIAA1486	ENSG00000144460	Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2	2	226265364-226518734	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA045531	Uncertain	Uncertain	Nucleus but not nucleoli, Cytoskeleton (Intermediate filaments)	Tissue enhanced	0	cerebral cortex: 1.8	skeletal muscle: 0.5
OLFM2	NOE2, OlfC	ENSG00000105088	Olfactomedin 2	19	9964394-10047228	Plasma proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA049961, HPA057771	Uncertain	Uncertain	Nucleus but not nucleoli	Tissue enhanced	0	cerebral cortex: 84.0;skin: 100.1	liver: 32.9
OMG	OMGP	ENSG00000126861	Oligodendrocyte myelin glycoprotein	17	29599031-29624557	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA008206, HPA012693	Supportive	Uncertain	Nucleus but not nucleoli, Cytoplasm	Tissue enhanced	0	cerebral cortex: 81.3	fallopian tube: 20.9
OPN4	melanopsin, MOP	ENSG00000122375	Opsin 4	10	88414314-88426605	G-protein coupled receptors, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA039147	Uncertain			Tissue enhanced	0	cerebral cortex: 1.0	skeletal muscle: 1.0
OPRK1	KOR	ENSG00000082556	Opioid receptor, kappa 1	8	54138284-54164257	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		CAB022595	Uncertain			Tissue enhanced	0	cerebral cortex: 2.3;prostate: 2.1	placenta: 0.9
OPRL1	KOR-3, NOCIR, OOR, ORL1	ENSG00000125510	Opiate receptor-like 1	20	62711526-62731996	G-protein coupled receptors, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enhanced	0	cerebral cortex: 7.8	testis: 4.0
OR2L13	OR2L14	ENSG00000196071	Olfactory receptor, family 2, subfamily L, member 13	1	248100493-248264224	G-protein coupled receptors, Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enhanced	0	cerebral cortex: 2.4	adrenal gland: 0.8
OSTN		ENSG00000188729	Osteocrin	3	190917030-190983404	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		CAB024997, CAB025649, HPA030878	Uncertain			Tissue enhanced	0	cerebral cortex: 2.3;urinary bladder: 1.8	prostate: 1.5
OTUD7A	C15orf16, CEZANNE2, OTUD7	ENSG00000169918	OTU domain containing 7A	15	31775329-32162992	Cancer-related genes, Enzymes, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA044554	Uncertain	Uncertain	Nucleoli, Cytoplasm	Tissue enhanced	0	cerebral cortex: 6.5	testis: 5.5
PAK3	bPAK, hPAK3, MRX30, MRX47	ENSG00000077264	P21 protein (Cdc42/Rac)-activated kinase 3	X	110187513-110470589	Disease related genes, Enzymes, Potential drug targets, Protein evidence (Kim et al 2014), RAS pathway related proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA044791, HPA060219	Uncertain	Uncertain	Cytoplasm	Tissue enhanced	0	cerebral cortex: 19.7;pancreas: 10.7	adrenal gland: 5.4
PAK7	KIAA1264, PAK5	ENSG00000101349	P21 protein (Cdc42/Rac)-activated kinase 7	20	9518036-9819689	Enzymes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), RAS pathway related proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA020444	Uncertain	Uncertain	Nucleus but not nucleoli	Tissue enhanced	0	cerebral cortex: 8.3	adrenal gland: 2.1
PALM2		ENSG00000243444	Paralemmin 2	9	112403068-112713755	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enhanced	0	cerebral cortex: 9.6;heart muscle: 13.4	liver: 3.8
PANX2	hPANX2, PX2	ENSG00000073150	Pannexin 2	22	50609160-50618723	Predicted membrane proteins, Transporters	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA039117	Uncertain			Tissue enhanced	0	cerebral cortex: 4.4	fallopian tube: 1.4
PCDH10	KIAA1400, OL-PCDH	ENSG00000138650	Protocadherin 10	4	134070470-134129356	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA011220	Uncertain			Tissue enhanced	0	cerebral cortex: 35.2;placenta: 15.6	prostate: 9.1
PCDH11X	PCDH-X, PCDH11, PCDHX	ENSG00000102290	Protocadherin 11 X-linked	X	91034260-91878229	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA000432	Uncertain			Tissue enhanced	0	cerebral cortex: 3.5;ovary: 9.3	placenta: 1.6
PCDH11Y	PCDH22, PCDHY	ENSG00000099715	Protocadherin 11 Y-linked	Y	4868267-5610265	Disease related genes, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA000432	Uncertain			Tissue enhanced	0	cerebral cortex: 3.0	ovary: 0.8
PCDH15	CDHR15, DFNB23, USH1F	ENSG00000150275	Protocadherin-related 15	10	55562531-57387702	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enhanced	0	adrenal gland: 10.0;cerebral cortex: 8.2	lung: 3.7
PCDH19	EFMR, EIEE9, KIAA1313	ENSG00000165194	Protocadherin 19	X	99546642-99665271	Disease related genes, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA027533	Uncertain			Tissue enhanced	0	cerebral cortex: 6.6	rectum: 1.9
PCDH20	FLJ22218, PCDH13	ENSG00000197991	Protocadherin 20	13	61983818-62002220	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enhanced	0	cerebral cortex: 9.1;smooth muscle: 8.7	endometrium: 3.2
PCDHA1		ENSG00000204970	Protocadherin alpha 1	5	140165876-140391929	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA035969	Supportive	Uncertain	Plasma membrane	Tissue enhanced	0	cerebral cortex: 2.1	testis: 0.9
PCDHA10	CNR8, CNRN8, CNRS8, CRNR8, PCDH-ALPHA10	ENSG00000250120	Protocadherin alpha 10	5	140235595-140391929	Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enhanced	0	cerebral cortex: 9.0	pancreas: 2.2
PCDHA11	CNR7, CNRN7, CNRS7, CRNR7, PCDH-ALPHA11	ENSG00000249158	Protocadherin alpha 11	5	140248689-140391929	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enhanced	0	cerebral cortex: 2.2	testis: 1.1
PCDHA4	CNR1, CNRN1, CRNR1, PCDH-ALPHA4	ENSG00000204967	Protocadherin alpha 4	5	140186659-140391929	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA043180	Uncertain			Tissue enhanced	0	cerebral cortex: 2.6;gallbladder: 1.8	endometrium: 0.7
PCDHA6	CNR2, CNRS2, CRNR2, PCDH-ALPHA6	ENSG00000081842	Protocadherin alpha 6	5	140207563-140391929	Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enhanced	0	cerebral cortex: 2.6	endometrium: 0.7
PCDHAC2	PCDH-ALPHA-C2	ENSG00000243232	Protocadherin alpha subfamily C, 2	5	140345820-140391936	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enhanced	0	cerebral cortex: 7.9	gallbladder: 2.9
PCDHGA1	PCDH-GAMMA-A1	ENSG00000204956	Protocadherin gamma subfamily A, 1	5	140710252-140892546	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA008755, HPA036547	Uncertain			Tissue enhanced	0	cerebral cortex: 2.1	heart muscle: 0.7
PCDHGA7	PCDH-GAMMA-A7	ENSG00000253537	Protocadherin gamma subfamily A, 7	5	140762467-140892546	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA008755	Uncertain			Tissue enhanced	0	cerebral cortex: 4.4	thyroid gland: 1.9
PCDHGB6	PCDH-GAMMA-B6	ENSG00000253305	Protocadherin gamma subfamily B, 6	5	140787770-140892546	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA008755	Uncertain			Tissue enhanced	0	cerebral cortex: 12.8	ovary: 6.2
PCDHGC3	PC-43, PC43, PCDH-GAMMA-C3, PCDH2	ENSG00000240184	Protocadherin gamma subfamily C, 3	5	140855580-140892542	Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA008755	Uncertain			Tissue enhanced	0	cerebral cortex: 91.8	lung: 28.7
PCLO	ACZ, DKFZp779G1236, KIAA0559	ENSG00000186472	Piccolo presynaptic cytomatrix protein	7	82383329-82792246	Cytoskeleton related proteins, Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA015858, HPA029579	Uncertain	Uncertain	Cytoskeleton (Intermediate filaments), Plasma membrane, Cell Junctions	Tissue enhanced	0	cerebral cortex: 12.5	adrenal gland: 6.6
PCP4L1	IQM1	ENSG00000248485	Purkinje cell protein 4 like 1	1	161228517-161255240	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enhanced	0	cerebral cortex: 24.4;urinary bladder: 35.3	esophagus: 13.1
PCSK1	NEC1, PC1, PC3, SPC3	ENSG00000175426	Proprotein convertase subtilisin/kexin type 1	5	95726119-95769847	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA048564	Uncertain			Tissue enhanced	0	cerebral cortex: 18.8	adrenal gland: 6.4
PCSK1N	SAAS	ENSG00000102109	Proprotein convertase subtilisin/kexin type 1 inhibitor	X	48689504-48694035	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA003925	Uncertain			Tissue enhanced	0	cerebral cortex: 26.2;kidney: 58.5	stomach: 15.2
PCYT1B	CCT-beta, CTB	ENSG00000102230	Phosphate cytidylyltransferase 1, choline, beta	X	24576204-24690794	Enzymes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA006367	Uncertain			Tissue enhanced	0	cerebral cortex: 13.4;testis: 11.0	fallopian tube: 3.6
PDXP	dJ37E16.5, FLJ32703	ENSG00000241360	Pyridoxal (pyridoxine, vitamin B6) phosphatase	22	38054734-38062941	Enzymes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA001099	Uncertain			Tissue enhanced	0	cerebral cortex: 70.1	liver: 25.8
PGBD5	DKFZp761A0620, FLJ11413	ENSG00000177614	PiggyBac transposable element derived 5	1	230457392-230561475	Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA065010		Uncertain	Nucleus but not nucleoli	Tissue enhanced	0	cerebral cortex: 25.3	heart muscle: 11.1
PHACTR1	dJ257A7.2, KIAA1733, RPEL1	ENSG00000112137	Phosphatase and actin regulator 1	6	12717893-13288645	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA029755, HPA029756, HPA029757	Supportive			Tissue enhanced	0	cerebral cortex: 41.0	bone marrow: 24.3
PHACTR3	C20orf101	ENSG00000087495	Phosphatase and actin regulator 3	20	58152564-58422766	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA051834, HPA054847	Uncertain	Supportive	Nucleus but not nucleoli	Tissue enhanced	0	cerebral cortex: 38.6	fallopian tube: 10.0
PHYHIP	DYRK1AP3, KIAA0273, PAHX-AP	ENSG00000168490	Phytanoyl-CoA 2-hydroxylase interacting protein	8	22077222-22089854	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enhanced	0	cerebral cortex: 88.8;skin: 39.5	adrenal gland: 20.2
PHYHIPL	Em:AC025038.1, KIAA1796	ENSG00000165443	Phytanoyl-CoA 2-hydroxylase interacting protein-like	10	60936350-61007534	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA038746	Uncertain			Tissue enhanced	0	cerebral cortex: 123.4	testis: 36.6
PIANP	C12orf53, DKFZp547D2210, PANP	ENSG00000139200	PILR alpha associated neural protein	12	6802958-6809966	Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA010631	Supportive			Tissue enhanced	0	cerebral cortex: 32.9	endometrium: 8.0
PLCB1	KIAA0581, PLC-I, PLC154	ENSG00000182621	Phospholipase C, beta 1 (phosphoinositide-specific)	20	8112824-8949003	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB004275, CAB005334, HPA034743, HPA057910	Supportive	Uncertain	Plasma membrane	Tissue enhanced	0	cerebral cortex: 38.8	salivary gland: 17.3
PLEKHB1	KPL1, PHR1, PHRET1	ENSG00000021300	Pleckstrin homology domain containing, family B (evectins) member 1	11	73357223-73373864	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enhanced	0	cerebral cortex: 206.4	salivary gland: 41.8
PLXNB3	PLEXB3, PLEXR, PLXN6	ENSG00000198753	Plexin B3	X	153029651-153044801	Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA048046	Supportive			Tissue enhanced	0	cerebral cortex: 31.8	salivary gland: 17.0
