Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
ADSSL1	FLJ38602	ENSG00000185100	Adenylosuccinate synthase like 1	14	105190523-105213662	Enzymes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	5	skeletal muscle: 453.5	heart muscle: 87.0
AGL		ENSG00000162688	Amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	1	100315640-100389579	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA028498	Supportive	Supportive	Nucleus but not nucleoli, Cytoplasm	Tissue enriched	5	skeletal muscle: 101.2	liver: 19.9
ARX	CT121, EIEE1, ISSX, MRX29, MRX32, MRX33, MRX36, MRX38, MRX43, MRX54, MRX76, MRX87, MRXS1, PRTS	ENSG00000004848	Aristaless related homeobox	X	25021811-25034065	Disease related genes, Plasma proteins, Protein evidence (Kim et al 2014), Transcription factors	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Group enriched	5	ovary: 26.9;skeletal muscle: 7.4	testis: 3.3
ASB14	DKFZp313L0121	ENSG00000239388	Ankyrin repeat and SOCS box containing 14	3	57302375-57326710	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	5	skeletal muscle: 18.3	heart muscle: 3.4
C1orf127	FLJ37118	ENSG00000175262	Chromosome 1 open reading frame 127	1	11006528-11042094	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA027654	Uncertain			Group enriched	5	pancreas: 2.3;skeletal muscle: 8.1;stomach: 2.6	duodenum: 0.8
CORO6	FLJ14871	ENSG00000167549	Coronin 6	17	27941774-27949925	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA021556	Uncertain	Supportive	Golgi apparatus	Group enriched	5	heart muscle: 62.9;placenta: 47.1;skeletal muscle: 191.7;thyroid gland: 38.6	esophagus: 16.8
DENND2C	dJ1156J9.1, DKFZp686G0351, DKFZp779P1149, FLJ37099, RP5-1156J9.1	ENSG00000175984	DENN/MADD domain containing 2C	1	115125469-115213043	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA029935, HPA054955	Uncertain	Uncertain	Nucleus	Group enriched	5	esophagus: 21.1;skeletal muscle: 31.3;skin: 15.7;testis: 7.7	tonsil: 3.7
GAMT	PIG2, TP53I2	ENSG00000130005	Guanidinoacetate N-methyltransferase	19	1397091-1401569	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA051806, HPA054600	Uncertain	Uncertain	Nucleus	Group enriched	5	liver: 136.8;pancreas: 98.2;skeletal muscle: 383.3	kidney: 37.8
GHR	GHBP	ENSG00000112964	Growth hormone receptor	5	42423879-42721979	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Group enriched	5	adipose tissue: 72.4;liver: 92.2;skeletal muscle: 20.5	prostate: 11.5
IL17D	FLJ30846, IL-17D, IL-22, IL-27, IL27	ENSG00000172458	Interleukin 17D	13	21276266-21297237	Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA060475	Uncertain	Uncertain	Nucleus	Group enriched	5	cerebral cortex: 53.9;skeletal muscle: 52.5	esophagus: 10.0
ITGB1BP2	CHORDC3	ENSG00000147166	Integrin beta 1 binding protein (melusin) 2	X	70521584-70525221	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA040721		Uncertain	Cytoplasm	Group enriched	5	heart muscle: 72.8;skeletal muscle: 24.2;smooth muscle: 17.4	endometrium: 7.3
KBTBD13	hCG_1645727, NEM6	ENSG00000234438	Kelch repeat and BTB (POZ) domain containing 13	15	65369154-65372276	Disease related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA062737	Supportive			Tissue enriched	5	skeletal muscle: 12.8	heart muscle: 2.5
LRRC20	FLJ10751, FLJ10844	ENSG00000172731	Leucine rich repeat containing 20	10	72058729-72142382	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA039630	Uncertain	Uncertain	Nucleus but not nucleoli, Cytoplasm	Group enriched	5	heart muscle: 30.6;skeletal muscle: 148.3	esophagus: 17.6
MAP6D1	FLJ12748	ENSG00000180834	MAP6 domain containing 1	3	183533664-183543382	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA037991	Uncertain	Uncertain	Cytoplasm	Group enriched	5	cerebral cortex: 24.5;skeletal muscle: 14.2	skin: 3.5
MYLK3	caMLCK, MLCK	ENSG00000140795	Myosin light chain kinase 3	16	46740891-46824319	Enzymes, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA040258	Uncertain			Group enriched	5	heart muscle: 77.2;skeletal muscle: 20.8	testis: 9.0
PFKM	PFK-1, PFKX	ENSG00000152556	Phosphofructokinase, muscle	12	48498922-48540187	Disease related genes, Enzymes, Potential drug targets, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA002117	Uncertain	Uncertain	Endoplasmic reticulum	Group enriched	5	heart muscle: 218.3;skeletal muscle: 591.1	ovary: 77.1
PROB1	C5orf65	ENSG00000228672	Proline-rich basic protein 1	5	138727635-138730885	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA053354	Uncertain			Tissue enriched	5	skeletal muscle: 21.5	heart muscle: 4.3
SBK1	Sbk	ENSG00000188322	SH3 domain binding kinase 1	16	28303840-28335170	Enzymes, Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Group enriched	5	cerebral cortex: 5.4;skeletal muscle: 13.7	prostate: 1.8
SMTNL2	FLJ42461	ENSG00000188176	Smoothelin-like 2	17	4487294-4511614	Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA025706	Uncertain	Uncertain	Nucleus but not nucleoli	Tissue enriched	5	skeletal muscle: 144.7	kidney: 27.3
ST8SIA5	SIAT8E	ENSG00000101638	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5	18	44259081-44339220	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA043813, HPA046771	Uncertain			Group enriched	5	adrenal gland: 9.1;cerebral cortex: 6.1;heart muscle: 4.2;skeletal muscle: 3.0	kidney: 1.1
TPM3	NEM1, TRK	ENSG00000143549	Tropomyosin 3	1	154127784-154167124	Cancer-related genes, Cytoskeleton related proteins, Disease related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA000261, HPA009066	Supportive			Tissue enriched	5	skeletal muscle: 1536.6	bone marrow: 280.7
USP6	HRP1, Tre-2, TRE17, Tre2	ENSG00000129204	Ubiquitin specific peptidase 6 (Tre-2 oncogene)	17	5019733-5078329	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA046969	Uncertain			Group enriched	5	ovary: 3.4;skeletal muscle: 9.7;testis: 12.4	smooth muscle: 1.6
ZNF106	SH3BP3, ZFP106, ZNF474	ENSG00000103994	Zinc finger protein 106	15	42705021-42783321	Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA054267, HPA056449	Uncertain	Supportive	Nucleus, Nucleoli, Golgi apparatus	Group enriched	5	heart muscle: 143.2;skeletal muscle: 162.7	adipose tissue: 29.7
ABLIM2	KIAA1808	ENSG00000163995	Actin binding LIM protein family, member 2	4	7967039-8160559	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA035808	Uncertain			Tissue enhanced	0	skeletal muscle: 63.8	spleen: 30.0
AC007421.1		ENSG00000268503		17	7517264-7517427		Evidence at transcript level	Evidence at transcript level							Tissue enhanced	0	kidney: 1.0;skeletal muscle: 3.0	placenta: 0.9
AC037459.4		ENSG00000248235	Uncharacterized protein 	8	22446787-22459597		Evidence at transcript level	Evidence at transcript level			HPA024667	Uncertain			Tissue enhanced	0	skeletal muscle: 33.7	urinary bladder: 12.1
AC104534.3		ENSG00000268083	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial 	19	39308111-39330818		Evidence at protein level	Evidence at protein level			HPA002907, HPA051748	Uncertain			Tissue enhanced	0	bone marrow: 2.4;skeletal muscle: 3.6	prostate: 1.8
AC117395.1		ENSG00000268175	LOC646903 protein; Uncharacterized protein 	3	149689066-149690535		Evidence at transcript level	Evidence at transcript level							Tissue enhanced	0	skeletal muscle: 12.8	cerebral cortex: 2.9
ADCY2	AC2, HBAC2, KIAA1060	ENSG00000078295	Adenylate cyclase 2 (brain)	5	7396321-7830194	Enzymes, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB031482, HPA038015, HPA038483	Supportive			Tissue enhanced	0	cerebral cortex: 72.6;skeletal muscle: 79.9	skin: 27.9
AGBL1	FLJ32310	ENSG00000166748	ATP/GTP binding protein-like 1	15	86685227-87572283	Disease related genes, Enzymes, Potential drug targets, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA039653	Uncertain			Tissue enhanced	0	lung: 1.0;prostate: 1.8;skeletal muscle: 2.3	esophagus: 0.7
AL354898.1		ENSG00000215428		9	133274029-133282639	Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at transcript level		Evidence at protein level	HPA060387	Uncertain			Tissue enhanced	0	skeletal muscle: 1.3;small intestine: 1.3	smooth muscle: 0.6
ALPK2	HAK	ENSG00000198796	Alpha-kinase 2	18	56148479-56296189	Cancer-related genes, Enzymes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA027377, HPA027976, HPA028084, HPA029801	Uncertain	Supportive	Nucleus but not nucleoli, Cytoplasm	Tissue enhanced	0	heart muscle: 35.4;skeletal muscle: 17.7	lymph node: 8.2
ANK1	ANK, SPH1	ENSG00000029534	Ankyrin 1, erythrocytic	8	41510739-41754280	Cytoskeleton related proteins, Disease related genes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA004842, CAB016057, HPA056953	Supportive	Uncertain	Nucleus but not nucleoli, Cytoplasm, Cell Junctions	Tissue enhanced	0	skeletal muscle: 323.8	heart muscle: 68.5
ANKRD9		ENSG00000156381	Ankyrin repeat domain 9	14	102973179-102976136	Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA055985	Uncertain			Tissue enhanced	0	skeletal muscle: 31.1	duodenum: 25.5
ANO5	GDD1, TMEM16E	ENSG00000171714	Anoctamin 5	11	22214722-22304903	Disease related genes, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA058857	Uncertain			Tissue enhanced	0	heart muscle: 19.6;skeletal muscle: 27.5	cerebral cortex: 5.0
ASB2	ASB-2	ENSG00000100628	Ankyrin repeat and SOCS box containing 2	14	94400499-94443137	Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA001546	Uncertain			Tissue enhanced	0	skeletal muscle: 184.9	heart muscle: 40.4
ASB5		ENSG00000164122	Ankyrin repeat and SOCS box containing 5	4	177134824-177198722	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA028870	Uncertain			Tissue enhanced	0	skeletal muscle: 87.7	salivary gland: 23.1
ATP1A2	FHM2, MHP2	ENSG00000018625	ATPase, Na+/K+ transporting, alpha 2 polypeptide	1	160085549-160113381	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB022230	Uncertain			Tissue enhanced	0	cerebral cortex: 233.2;skeletal muscle: 362.2	heart muscle: 70.0
ATP2B2	PMCA2	ENSG00000157087	ATPase, Ca++ transporting, plasma membrane 2	3	10365707-10749716	Enzymes, Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB005606	Supportive			Tissue enhanced	0	cerebral cortex: 42.5;salivary gland: 19.3;skeletal muscle: 20.5	liver: 5.9
BEST3	MGC13168, MGC40411, VMD2L3	ENSG00000127325	Bestrophin 3	12	70037140-70093256	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA054582	Uncertain			Tissue enhanced	0	cerebral cortex: 6.6;skeletal muscle: 15.2	prostate: 3.4
C11orf89	LOC728008	ENSG00000184682	Chromosome 11 open reading frame 89	11	1910375-1912084		Evidence at transcript level	Evidence at transcript level	No evidence		HPA040293, HPA040891	Uncertain	Uncertain	Nucleus but not nucleoli, Cytoplasm	Tissue enhanced	0	skeletal muscle: 14.3	spleen: 6.2
C15orf27	FLJ38190	ENSG00000169758	Chromosome 15 open reading frame 27	15	76352178-76521462	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA041921	Uncertain	Supportive	Plasma membrane, Cytoplasm	Tissue enhanced	0	skeletal muscle: 7.3	placenta: 3.2
C1orf170	MGC13275, PERM1, RP11-54O7.8	ENSG00000187642	Chromosome 1 open reading frame 170	1	910579-917497	Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA031711, HPA031712	Supportive			Tissue enhanced	0	heart muscle: 22.2;skeletal muscle: 82.0	skin: 15.9
C1QTNF9	AQL1, C1QTNF9A, CTRP9, MGC48915	ENSG00000240654	C1q and tumor necrosis factor related protein 9	13	24881304-24896673	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA056632	Supportive			Tissue enhanced	0	heart muscle: 3.1;skeletal muscle: 3.5	adipose tissue: 2.0
CA14		ENSG00000118298	Carbonic anhydrase XIV	1	150229554-150237478	Enzymes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA008482	Uncertain			Tissue enhanced	0	skeletal muscle: 14.2	cerebral cortex: 7.7
CAP2		ENSG00000112186	CAP, adenylate cyclase-associated protein, 2 (yeast)	6	17393447-17558023	Cancer-related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA050530, HPA054147	Supportive	Uncertain	Nucleus but not nucleoli, Cytoplasm, Plasma membrane	Tissue enhanced	0	skeletal muscle: 213.3	heart muscle: 87.4
CCDC28B	MGC1203, RP4-622L5.5	ENSG00000160050	Coiled-coil domain containing 28B	1	32665987-32670988	Disease related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA028403, HPA028589	Uncertain			Tissue enhanced	0	skeletal muscle: 65.4	testis: 21.9
CDNF	ARMETL1	ENSG00000185267	Cerebral dopamine neurotrophic factor	10	14861249-14880574	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA044587	Uncertain			Tissue enhanced	0	skeletal muscle: 22.3	testis: 19.5
CECR2	KIAA1740	ENSG00000099954	Cat eye syndrome chromosome region, candidate 2	22	17840837-18037850	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA002943	Supportive	Uncertain	Nucleus, Nucleoli	Tissue enhanced	0	skeletal muscle: 9.3	testis: 5.2
CHRNA1	CHRNA	ENSG00000138435	Cholinergic receptor, nicotinic, alpha 1 (muscle)	2	175612320-175629200	Disease related genes, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level		CAB010902	Uncertain			Tissue enhanced	0	skeletal muscle: 9.3	prostate: 2.8
CLIC5		ENSG00000112782	Chloride intracellular channel 5	6	45868045-46048132	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enhanced	0	skeletal muscle: 129.6	heart muscle: 78.5
CLTCL1	CHC22, CLH22, CLTCL, CLTD	ENSG00000070371	Clathrin, heavy chain-like 1	22	19166986-19279239	Cancer-related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enhanced	0	skeletal muscle: 30.9;testis: 22.6	bone marrow: 16.5
CNKSR1	CNK, CNK1, KSR	ENSG00000142675	Connector enhancer of kinase suppressor of Ras 1	1	26503894-26516377	Cancer-related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA030847, HPA054309	Uncertain	Supportive	Cytoplasm, Golgi apparatus	Tissue enhanced	0	skeletal muscle: 57.7	skin: 23.5
CRYAB	CRYA2, HSPB5	ENSG00000109846	Crystallin, alpha B	11	111779289-111794446	Cancer-related genes, Disease related genes, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB002053, HPA028724, CAB040560	Supportive	Supportive	Cytoplasm, Plasma membrane	Tissue enhanced	0	heart muscle: 2660.9;skeletal muscle: 1252.4	cerebral cortex: 660.2
CTD-2207O23.12		ENSG00000267952	Uncharacterized protein 	19	7571938-7584508		Evidence at transcript level	Evidence at transcript level							Tissue enhanced	0	cerebral cortex: 5.2;skeletal muscle: 6.7	spleen: 3.2
CTD-2210P24.4		ENSG00000205106	Uncharacterized protein 	11	45792983-45793909		Evidence at transcript level	Evidence at transcript level			HPA060293	Uncertain			Tissue enhanced	0	skeletal muscle: 3.7	adipose tissue: 2.3
DOK5	C20orf180, dJ805C22.1	ENSG00000101134	Docking protein 5	20	53092136-53267710		Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA065235	Uncertain			Tissue enhanced	0	skeletal muscle: 20.6	heart muscle: 18.8
DOK7	C4orf25, Dok-7, FLJ33718, FLJ39137	ENSG00000175920	Docking protein 7	4	3465033-3503200	Disease related genes, Plasma proteins, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA059449	Uncertain	Uncertain	Nucleus but not nucleoli, Mitochondria	Tissue enhanced	0	heart muscle: 13.9;skeletal muscle: 9.2	fallopian tube: 5.0
DUSP26	DUSP24, MGC1136	ENSG00000133878	Dual specificity phosphatase 26 (putative)	8	33448856-33457624	Enzymes	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA018221	Uncertain			Tissue enhanced	0	skeletal muscle: 139.1	heart muscle: 33.4
EEF1A2	EEF1AL, HS1, STN, STNL	ENSG00000101210	Eukaryotic translation elongation factor 1 alpha 2	20	62119366-62130505	Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB034019, HPA051759, HPA053862, HPA056990	Uncertain			Tissue enhanced	0	heart muscle: 352.3;skeletal muscle: 967.3	cerebral cortex: 159.9
EN1		ENSG00000163064	Engrailed homeobox 1	2	119599747-119605254	Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at protein level		CAB014884	Uncertain	Supportive	Nucleus, Nucleoli	Tissue enhanced	0	lymph node: 1.6;skeletal muscle: 5.4;skin: 1.6	adipose tissue: 1.0
EXTL1	EXTL, MGC70794	ENSG00000158008	Exostosin-like glycosyltransferase 1	1	26346375-26362955	Enzymes, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA037749	Uncertain			Tissue enhanced	0	cerebral cortex: 7.4;skeletal muscle: 5.9	heart muscle: 3.1
EYA4	CMD1J, DFNA10	ENSG00000112319	Eyes absent homolog 4 (Drosophila)	6	133561736-133853258	Disease related genes, Enzymes, Potential drug targets, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA004805, HPA038771, HPA038772	Supportive	Uncertain	Cytoplasm, Centrosome	Tissue enhanced	0	fallopian tube: 9.7;skeletal muscle: 10.0	heart muscle: 5.4
FAM184B	KIAA1276	ENSG00000047662	Family with sequence similarity 184, member B	4	17630929-17783135	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA044119, HPA048458	Uncertain			Tissue enhanced	0	cerebral cortex: 1.3;skeletal muscle: 1.7	kidney: 0.4
FAM47E-STBD1		ENSG00000118804	FAM47E-STBD1 readthrough	4	77172886-77232752	Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA011952, HPA012849	Supportive	Supportive	Cytoplasm	Tissue enhanced	0	adipose tissue: 33.9;skeletal muscle: 35.9	liver: 16.2
FLNC	ABP-280, ABPL, FLN2	ENSG00000128591	Filamin C, gamma	7	128470431-128499328	Cytoskeleton related proteins, Disease related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA006135	Supportive	Supportive	Plasma membrane, Cytoplasm	Tissue enhanced	0	skeletal muscle: 351.4	heart muscle: 131.3
FNDC5	FRCP2	ENSG00000160097	Fibronectin type III domain containing 5	1	33327869-33338083	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA051290	Supportive			Tissue enhanced	0	skeletal muscle: 125.9	heart muscle: 38.8
FZD9	CD349, FZD3	ENSG00000188763	Frizzled family receptor 9	7	72848109-72850450	CD markers, G-protein coupled receptors, Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enhanced	0	skeletal muscle: 1.9	testis: 1.2
GATS	DKFZp686B07267, STAG3OS	ENSG00000160844	GATS, stromal antigen 3 opposite strand	7	99798283-99869855		Evidence at protein level	Evidence at protein level	No evidence		HPA043176	Uncertain			Tissue enhanced	0	skeletal muscle: 1.0	cerebral cortex: 0.7
GATSL1		ENSG00000183086	GATS protein-like 1	7	74379083-74438803		Evidence at transcript level	Evidence at transcript level	No evidence		HPA057229	Uncertain			Tissue enhanced	0	skeletal muscle: 8.7	cerebral cortex: 4.3
GATSL2		ENSG00000198750	GATS protein-like 2	7	74807499-74867509		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA057229	Uncertain			Tissue enhanced	0	skeletal muscle: 9.3	cerebral cortex: 5.3
GPD1		ENSG00000167588	Glycerol-3-phosphate dehydrogenase 1 (soluble)	12	50497602-50505102	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA044620	Supportive			Tissue enhanced	0	adipose tissue: 505.6;skeletal muscle: 229.2	kidney: 163.9
GPR157	FLJ12132	ENSG00000180758	G protein-coupled receptor 157	1	9160364-9189229	G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA028697	Uncertain	Uncertain	Nucleoli, Plasma membrane, Cell Junctions	Tissue enhanced	0	skeletal muscle: 31.7	skin: 21.8
HOXC10	HOX3I	ENSG00000180818	Homeobox C10	12	54378849-54384063	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB046474, HPA053919	Uncertain	Supportive	Nucleus but not nucleoli	Tissue enhanced	0	kidney: 40.1;skeletal muscle: 51.1	skin: 9.7
HOXC9	HOX3, HOX3B	ENSG00000180806	Homeobox C9	12	54388679-54397121	Protein evidence (Ezkurdia et al 2014), Transcription factors	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enhanced	0	skeletal muscle: 21.0	kidney: 7.2
HS3ST5	3-OST-5	ENSG00000249853	Heparan sulfate (glucosamine) 3-O-sulfotransferase 5	6	114376750-114664209	Enzymes, Plasma proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA021823	Uncertain			Tissue enhanced	0	cerebral cortex: 3.8;skeletal muscle: 1.6	bone marrow: 0.6
HSPB2		ENSG00000170276	Homo sapiens heat shock 27kDa protein 2 (HSPB2), mRNA.	11	111782966-111789574	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA038889, HPA038890	Uncertain			Tissue enhanced	0	heart muscle: 41.7;skeletal muscle: 30.6	adipose tissue: 9.5
HSPB2-C11orf52		ENSG00000254445	HSPB2-C11orf52 readthrough (NMD candidate)	11	111783460-111797595		Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA038889, HPA038890	Supportive			Tissue enhanced	0	heart muscle: 31.6;skeletal muscle: 39.5	adipose tissue: 14.9
